Provider NI Name,Provider ID,Provider Name
"Davidson, George",1-16431874592,The Carers Group Ltd
"Davidson, Miles",1-13460453865,Chesterfield Health Provider Limited
"Davies, Aisha",1-6340415515,Star Homecare Services Limited
"Davies, Alison",1-119227792,Community Connex Ltd
"Davies, Charlotte",1-2037491412,Private Personal Assistance Limited
"Davies, Chris",1-101669622,SureCare Shropshire Limited
"Davies, Daniel",1-101690089,Integracare Limited
"Davies, Emily",1-1300731937,Dynamic Support Ltd
"Davies, Ericka",1-9369617878,Prudent Domiciliary Care Limited
"Davies, Fiona",1-19060982557,G4S Care and Justice Services (UK) Limited
"Davies, Fiona",1-292003004,G4S Health Services (UK) Limited
"Davies, Joanne",1-3134306250,My Care My Home Limited
"Davies, Laura",1-119227846,The Good Care Group London Limited
"Davies, Lindsey",1-2166804736,Sunnymeade Quality Care Ltd
"Davies, Michala",1-13952207560,Inspired Day Care Services Ltd
"Davies, Patricia",R1D,Shropshire Community Health NHS Trust
"Davies, Rebecca",1-7066004997,CBCT Support Limited
"Davies, Trudie",RR7,Gateshead Health NHS Foundation Trust
"Davies, Victoria",1-15529329825,We Can Care Ltd
"Davies-Jones, Raechel",1-101670332,Victoria Care Elite Limited
"Davies-Parsons, Helen",1-3857037627,Dormy Care Communities South Ltd
"Davies-Parsons, Helen",1-6871553613,Dormy Care Communities (Hereford) Limited
"Davis, Andrew",1-461150897,Bournemouth Assistance Limited
"Davis, Barnaby",1-8810246531,BD Care Warwick Ltd
"Davis, Beverley",1-430597880,Millies Care and Support Agency Limited
"Davis, Caron",1-15013057774,Mablethorpe Care Limited
"Davis, Clare",1-101635268,Longfield Hospice Care
"Davis, Emma",1-101610703,Kelso Care Consortium Limited
"Davis, Harriet",1-2936603170,Heronsmere Home Care Ltd
"Davis, Jennifer",1-101683644,Davis Care Limited
"Davis, Julie",1-144069582,Dove Care Limited
"Davis, Kate",1-119235458,Rotherham Crossroads-Caring For Carers
"Davis, Marie",1-101688345,Hadley Care Limited
"Davis, Rosemarie",1-525013585,Magenta Domiciliary Care Services Ltd
"Davis, Sally",1-5178557807,Invictus Plus Care Ltd
"Davis-Mandengue, Dorrance",1-14880634642,Right Care Service Ltd
"Davison, Amina",1-16414794132,Harmony Health Group Ltd
"Davison, John",1-101642345,Supportive SRC Ltd
"Davison, Matthew James",1-101614472,Rose Cottage Nursing Care Limited
"Davison, Suzanne",1-2068821659,Say Care Limited
"Davison, Teresa",1-17967324423,Woodspring Care at Home Ltd
"Dawkins-Wright, Claudia",1-14327593737,3D Care Services Limited
"Dawson, Bradley",1-14151015251,BMS Care Providers Limited
"Dawson, Julie",1-101681724,Rutland House Community Trust Limited
"Dawson, Samantha",1-2094843127,The Carers' Resource
"Dawson, Sarah",1-691427387,Heywood Carers Limited
"Day, Andrew",1-101688257,Tre' Care Group Limited
"Day, Kim",1-101640097,One Community Eastleigh
"Day, Max",1-3828714075,MCD Care Limited
"Day, Nicole",1-4917856561,Pure Heart Homecare Ltd
"Day, Philip",1-101662885,Day Care Services Limited
"Day-Jolly, Deslys",1-101667073,Town and Country Homecare Ltd
"Dayaram, Sunil",1-18743960620,Apex Health Liverpool
"Daynes, Jennifer",1-13258862190,Roster Home Care Ltd
"De Brito, Gemma",1-2008193751,Nottingham Community Housing Association Limited
"De Cramer, Donald-Dwayne",1-15891714953,Fidus Care Ltd
"De Gale, Daniel",1-2780913198,Paul Clarke (Staffordshire) Community Interest Company
"De Kiewiet, Gavin",1-260340219,Matrix Health Services UK Limited
"De Oliveira, Jacqueline",1-11085718663,Emilia Jean Care Limited
"De Sousa, Jacqueline",1-101685433,Amber Support Services
"De Vera, Edgar",1-4628405439,Reliance Care Services Limited
"De-Souza, Abiola",1-9702921605,Distinct Pro Care Services Ltd
"De-Vere, Sophie",1-376566474,Homecare North East CIC
"Deakin, Caroline",1-3482480256,Caroline Cares For You Ltd
"Dean, Clayton",1-17026760687,Healthy Eating and Life Ltd
"Dean, Wayne",1-7495726517,DW Complex Care Ltd
"Deane, Asweenah",1-2513431160,Best At Home Domiciliary Care Services Ltd
"Deane, Rita",1-101692436,Elite Assistance Ltd
"Deathridge-Thomas, Stephanie",1-3302528224,London Care Responds Limited
"Deb, Pushpo",1-1908090828,Hand On Heart Care Services Limited
"Debo, Anthony",1-9449655841,Desla Care Agency Ltd
"Decke, Sylvia",1-14335671695,Timecare 24 Ltd
"Declan, Sandra",1-12332266497,Jobmerger Support Services Ltd
"Decola, Anthony",1-12682234633,Right Way Support Limited
"Decourcy, Susan",1-131465682,Eden Support Ltd
"Deda, Febi",1-5323796394,Ultimate Care & Support Services Ltd
"Dede-Bamfo, Ebenezer",1-7446203659,Whitnel Care UK Ltd
"Dee, Jane",1-5517924815,Support for Independence (North West) Ltd
"Deeble-Rogers, Chloe",1-483065861,Symbol Family Support Services Limited
"Deekiri Kewage Don, Derrick",1-4390271100,Dons Care Limited
"Deere, Carol",1-791660317,Beechfield Care & Support Limited
"Degaris, Shane",R1H,Barts Health NHS Trust
"Degun, Parminder",1-249019445,Gemstone Care Ltd
"Dehal, Amrit",1-1783372047,Premium Care Solutions Limited
"Dehal, Parminder",1-6447426476,SD Home Care Ltd
"Deku, Stephen",1-13923640367,Procare Team Ltd
"Del Rosario, Leila",1-17431001106,Lucky Supported Living Ltd
"Del Rosario, Venus",1-16436636823,Enrich Home Care Ltd
"Dell, Richard",1-6383347736,Wentworth Community Care Ltd
"Deller, David",1-189967975,Bolton New Care Limited
"Delooze, Dorothy",1-757123384,Oldham Care and Support Ltd
"Delooze, Dorothy",1-757851752,MioCare Services Ltd
"Dembedza, Sylvia",1-18253876596,Margstone Support Solutions Ltd
"Demosthenis, Bobby",1-16422342589,Supporting Positive Futures Ltd
"Denaro, Gaynor",1-1228091230,Hand In Hand Homecare Agency Limited
"Dende, Nashe",1-15170032564,Priority Choice Health Care Limited
"Deneva, Stefka",1-4390487428,Blue River Home Care Ltd
"Denhere, Hardreck",1-1622271454,Total Quality Care Services Ltd
"Dennett, Caroline",1-5548782071,TD Homecare Services Limited
"Denning, Joanna",1-101658703,Aspire In The Community Ltd
"Denning, Wendy",1-682005676,The Health Doctors Ltd
"Dennis-Andrews, Tracey",1-101728511,Encompass Care Organisation UK
"Denton, Alison",1-2530344042,Daleswood Health Ltd
"Deo, Manraj",1-101628734,Active Care Services Ltd
"Deol, Iva",1-197469919,Wisteria Care Agency Ltd
"Deol, Iva",1-873245203,Temple Mead Care Ltd
"Dera, Brian",1-10212360591,Passion to Care Ltd
"Derbidge, Karen-Ann",1-2551802969,Gemini Assisted Living Limited
"Deria, Sahra",1-13782019770,Maax Care Ltd
"Derozinska, Irina",1-10377363685,Excellence In Care Ltd
"Desa, Flav",1-513025587,Lakeshore Care Ltd
"Desai, Dipti",1-7221302682,Professional Care Limited
"Desai, Minal",1-119227410,Barker Care Limited
"Desai-Gupta, Aarohee",1-18018497576,ATROM MINDCARE LIMITED
"Deshpande, Anand",1-17717020946,Thurrock Health Hubs Limited
"Desjarlais, Katie",1-8769109016,Augustus Care Ltd
"Deslandes, Jonathan",1-11272724745,Aspire Care and Education Services Limited
"Deuk, Susannah",1-4798326575,Areli Care Ltd
"Devaradjalou, Ramaswamy",1-19327451414,Health Blossom Limited
"Devenish, Kelly",1-12450903424,White & Sterling Residential Care Ltd
"Devereux-Batchelor, Gail",1-352958819,Home Care Harborough Limited
"Devine, Amber",1-101646656,Milford Del Support Agency Limited
"Devine, Amber",1-15136095778,Maximus Support Services Ltd
"Devine, John",1-11769558150,Cannaco Health Limited
"Devine, Sophia",1-17717871561,Devine Inspired Care & Temporary Recruitment Agency Ltd
"Dewa, Asafina",1-17044890003,Homelink Care Support Services Ltd
"Dewah, Joseph",1-2424297383,Sabaoth Care Ltd
"Dewah, Kudakwashe",1-1872037238,Sulem Care Limited
"Dewan, Sandeep",1-101715395,SVP Health Care Limited
"Dhadda, Pargan",1-101686961,Trentside Manor Care Limited
"Dhaliwal, Gurdarwar",1-6903837429,GG Total Care Ltd
"Dhaliwal, Harmit",1-8679230645,Pinnacle Support Services Ltd
"Dhaliwal, Karmjeet",1-101710637,Brun Lea Care Ltd
"Dhaliwal, Sandeep",1-16485659347,Howden Care Ltd
"Dhalla, Sabbar",1-101661886,Civicare Central Limited
"Dhalla, Shabbar",1-101659032,Managing Care Limited
"Dhalla, Shabbar",1-101665729,Care Force Limited
"Dhamecha, Rishi",1-11312749797,Only Care (Blackwell) Limited
"Dhamecha, Rishi",1-7013463169,Only Care Limited
"Dhami, Bobby",1-1786355439,Caremax Homecare Services Limited
"Dhami, Sandeep",1-101609093,Cole Valley Care Limited
"Dhanak, Mitesh",1-101608031,Magicare Limited
"Dhanak, Mitesh",1-1897027395,First Cheltenham Care Limited
"Dhanak, Mitesh",1-7563015458,Aldanat Care Services  Limited
"Dhanak, Mitesh",1-7680296637,Peter House Care Ltd
"Dhandayudham, Arun",1-126775066,Via Community Ltd
"Dhanji, Kazimali",1-19878134069,AH Home Care Limited
"Dhariwal, Jaswinder",1-153000155,Smile Care Slough 24 Limited
"Dhariwal, Jaswinder",1-18110690745,Smile Care KSS Ltd
"Dhariwal, Jaswinder",1-19594129103,Smile Care York Ltd
"Dhariwal, Jaswinder",1-19594731529,Smile Care Pocklington Ltd
"Dhariwal, Jaswinder",1-2106192707,Smile Care (Cornwall) Ltd
"Dhariwal, Jaswinder",1-455234319,Smile Care Plymouth Ltd
"Dhariwal, Jaswinder",1-604440006,Smile Care Dorset Ltd
"Dhariwal, Jaswinder",1-663805838,Smile Care Swindon Limited
"Dhariwal, Jaswinder",1-691943366,Smile Care Salford Ltd
"Dhariwal, Jaswinder",1-7574503516,Smile Care South Limited
"Dhariwal, Jaswinder",1-7654742604,Smile Care Havant Ltd
"Dhariwal, Jaswinder",1-7681226493,Smile Care Eastleigh Limited
"Dhariwal, Jaswinder",1-835400974,Smile Care Cippenham Ltd
"Dhariwal, Jaswinder",1-837458862,Smile Care Twyford Limited
"Dhariwal, Natasha",1-6709911640,T & T Care Group Ltd
"Dharmapala, Dullaba",1-101641710,Grange Care Services Limited
"Dharmasingham, Romesh",1-4380189850,Aevitus Care Services Ltd
"Dharmasingham, Romesh",1-7166144105,Dorset Home Care Limited
"Dharsee, Shamin",1-101676240,Qualitas Care Limited
"Dhatt, Parpinder",1-101670807,Sandwell Asian Family Support Service Limited
"Dhegey, Racwi",1-19226930469,Caringheartss Care Ltd
"Dhesi, Tejinderpal",1-3799855379,Live Well Care Ltd
"Dhillon, Biro",1-17580506433,Rocara Homecare Limited
"Dhillon, Harsimran",1-14757837933,Gillz Care Ltd
"Dhillon, Ranjit",1-131465105,RDSS Care Limited
"Dhir, Akshay",1-15226698538,Chime Care Limited
"Dhlamin, Silas",1-3233236145,J & S Health Care Services Ltd
"Dhobah, Ikram",1-18573288225,Elderlycare Limited
"Dhobah, Mohamed",1-11680601858,Belet & Care Limited
"Dhundup, Lhamo",1-14628320367,Lhamo J Care Solutions Ltd
"Di Gregorio, Sabrina",1-8418862587,Flowan Health Ltd
"Diabate, Aminatta",1-11214769591,Oaksfield Care Ltd
"Diallo, Mazo",1-5878181720,Fouta Quality Care Ltd
"Dias Dahanayake, Kovida",1-3233088668,Oasis Care-UK Limited
"Dias, Rhiannon",1-421364519,Maison Care Ltd
"Diavewa, Roger",1-11474973392,Metis Care Limited
"Diaz, Alain",1-4094505596,Emanuel Care Limited
"Dibbin, Cheryl",1-171991310,Care Dynamics (Yorkshire) Limited
"Dibden, Lindsay",1-101690294,Kivernell Care Limited
"Dick, Maureen",1-101643764,Mychoice Homecare Limited
"Dickens, Susan",1-2406814950,Total Care Norfolk Limited
"Dickinson, Tobyn",1-19893809226,Cromwell Care Osgodby Limited
"Dicks, Colin",1-12501855758,The Village Care Group Limited
"Dickson, Deborah",1-11648477762,Cousin Care Ltd
"Dickson, Joanne",1-102643458,Ramsay Health Care UK Operations Limited
"Dickson, Kenneth",1-14211575445,CSG Homecare Ltd
"Didcote, Lucy",1-9822372729,Adelfi Care Services Limited
"Diethe, Claire",1-19383063921,Gillvray Health Limited
"Dillon, Patricia",1-7637939875,AccuroCare St. John's Home Limited
"Dima-Okojie, Ronke",1-15982152742,Jireh Care & Recruitment Services Ltd
"Dimano, Gemma",1-18338571811,Fine Care Services Ltd
"Dimitrova, Ina",1-12364302803,Optimise Health Group Limited
"Din, Nizamud",1-16836871061,Central Care Limited
"Dina, Comfort",1-9964426315,Genius Care Limited
"Dinsorean, Florina",1-3723937157,Inna Care Ltd
"Dirikwe, Patricia",1-14342232509,At Heart Care Ltd
"Dirir, Nasra",1-12860129706,The Western Community Care Limited
"Diriye, Fathi",1-16950222583,ICare Edge Ltd
"Diriye, Maryan",1-11817568811,Holistic Centred Care Ltd
"Dirsche, Ayub",1-9627533165,Nanny Care Services Ltd
"Dissanayake, Randika",1-1617202117,Care Herts Limited
"Distin, Eric",1-101611918,Abbeyfield Tamar Extra Care Society
"Diver, Ashleen",1-2699617235,Herts Health Limited
"Divine, Patience",1-7448085898,Value Health Care and Cleaning Services Limited
"Dixon, Paul",1-10325807546,Marillac Neurological Care Centre
"Diya, Sibongile",1-8017016808,Hope Health Kare Limited
"Djavit, Ilker",1-12695187066,BLTW Care Ltd
"Djavit, Ilker",1-2840615078,Crest House Care Limited
"Dobinson, Kim",1-13440258541,Precision Home Care Ltd
"Dobson, Gary",1-119227783,Caerus Care Limited
"Dobson, Martin",1-16310556060,Community Links Support Limited
"Dodd, Elaine",1-3233611929,Umbrella Care (Midlands) Ltd
"Dodds, Denny",1-13102557248,Blakewater Homecare Services Ltd
"Dodds, Ian",1-1864199043,Achieving for Children Community Interest Company
"Dodhia, Jay",1-1903194965,Serene Care Ltd
"Dodson, Sabrina",1-12830266481,Care Advisory & Respite Experts Ltd
"Dodzo, Idah",1-17412499276,Log4Health Ltd
"Doe, Hannah",1-15876684593,Charismashape Care Ltd
"Doe, Robert",1-9857871493,Worlta Health Care Ltd
"Doherty, Chris",1-101646943,Health Vision UK Limited
"Dokpoh, Doris",1-184757010,Royale Carers Limited
"Dolor, Sandra",1-16410897435,Elden Care Solutions Ltd
"Dombo, Nelly",1-15032796821,Beacon Health Group Limited
"Don, Mark",1-101676783,Rowans Care Limited
"Donald, Charlotte",1-101642943,Cera Care Operations Limited
"Donald, Charlotte",1-101644687,Apex Prime Care Ltd
"Donald, Charlotte",1-101678753,Mediline Home Care Limited
"Donald, Charlotte",1-101680399,Premier Care Limited
"Donald, Charlotte",1-11371640604,Cera Homecare Limited
"Donald, Charlotte",1-122134347,Care 1st Limited
"Donald, Charlotte",1-12942212221,Apex Prime Care West Limited
"Donald, Charlotte",1-184856305,Homecare4U Limited
"Donald, Charlotte",1-6129891850,Care Quality Services Limited
"Donald, Charlotte",1-891639347,Gemcare South West Limited
"Donald, Jonathan",1-101692068,Beechwood Homecare Limited
"Donald, Marie",1-16294087634,Mariegold Care Limited
"Donaldson, Christopher",1-16413928891,One+ Health Limited
"Donaldson, Hannah",1-3630515130,Hummingbird Home care Limited
"Donaldson, John",1-2044574598,Hedgerow Homecare Ltd
"Done, Shyam",1-15268400167,Asheborough House Care Centre Ltd
"Done, Shyam",1-17931190926,Doulton Care Ltd
"Done, Shyam",1-18019820849,Aspen Lodge Care Ltd
"Done, Shyam",1-18139163265,Woodview Care Ltd
"Donegan, Michael",1-101692568,Stonnall Care Limited
"Donegan, Michael",1-122683791,Regal Care (Liverpool) Ltd
"Donegan, Michael",1-7615910210,Regal Care (Stoke) Limited
"Donkoh, Dorothy",1-16574145199,Care First Providers Ltd
"Donkor, Annabella",1-12854073961,Caremix Ltd
"Donnelly, Sophie",1-164897957,Community Living and Support Services Limited
"Donohue, Angela",1-101670518,Dale Care Limited
"Donohue, Angela",1-1216338686,Clece Care Services Limited
"Donohue, Angela",1-241243645,Perfect Care Limited
"Donohue, Luke",1-3936559650,Spire Homecare 2016 Limited
"Dooley, Gerard",1-101677715,Cephas Care Limited
"Dooraree, Shyam",1-101608436,Brownhill Care Limited
"Dooraree, Yasoda",1-3963757120,Mermaid Care Limited
"Dorai, Prema",1-101674935,Primary Homecare Limited
"Doran, Mark",1-12062143545,Nightingale Court Care Limited
"Doran, Raymond",1-15337796485,Care Trusters Limited
"Dore, Melanie",1-9780051533,ACE Home Support Ltd
"Dosanjh, Rajvinder",1-101615637,Changing Lives UK Quality Care Limited
"Double, Karl",1-2697523103,Deben Willow Care Limited
"Dougan, Louise",1-9487996418,Willow Homecare Leeds Ltd
"Douglas, Deana",1-3127010887,Optimal Homecare Services Ltd
"Douglas, Derek",1-180050548,Roses Home Care Limited
"Douglas, Emily Marie",1-3310040857,Achievers Care Solutions Limited
"Douglas, Kareem",1-17888980941,Jericho Care Ltd
"Douglas, Malcolm",1-101689814,Preferred Care Limited
"Douglas, Racheal",1-15521274711,Wizdomcare Ltd
"Dove, Nigel",1-2695635057,Home Sweet Home Care Agency Ltd
"Dowden, Gemma",1-17131132135,Beyond Homecare Limited
"Dowell-Jones, Aphra",1-15885491914,Zest Hearing Care Ltd
"Dowlot Maulayah, Lokeshwaree",1-5732820540,MRJ Care Limited
"Downes, Tricia",1-1989577529,Care Resource Bureau Ltd
"Downing, Angela",1-101680041,Live Life Care Limited
"Dowson, Andrew",1-2125397507,Durham Dales Health
"Dowson, Julie",1-2326189053,Yorhealth Limited
"Doyle, Jill",1-5169549510,Healthnet Homecare (UK) Limited
"Doyle, Johanna",1-14848960191,Channel Community Care Ltd
"Doyle, Johanna",1-5139367610,North Home Care Ltd
"Drabble, Beverley",1-2508842457,Helping Hands Domiciliary Care Limited
"Dragan, Patricia",1-4730291175,Monarchy Care Services Ltd
"Dralada, Rosemary",1-5593014767,Mary Personal Care Ltd
"Draper, Neil",1-1867273181,Aston Transitional Care Limited
"Drew, Kevin",1-8176637422,Seco Support Limited
"Dring, Michelle",1-101655981,Excellence Care Ltd
"Driver, Charlotte",1-138279808,Christies Care Ltd
"Driver, Fran",1-101683972,Essex Cares Limited
"Druce, Julie",1-916697202,Integrity Home Care Ltd
"Druce, Nigel",1-131464444,Falcare Community Interest Company
"Drury, Jason",1-101674359,Primecare Support Limited
"Dryden, Pauline",1-101644651,Quality Home Care (Barnsley) Limited
"Dua, Parjeet",1-8996308465,Care Within Ltd
"Duaale, Khalil",1-3230439304,Yorkshire Homecare Limited
"Duah, Joseph",1-17196513641,Shaped Care & Support Services Ltd
"Dube, Doreen",1-17967272361,Dorsam Allied Support Ltd
"Dube, Fortune",1-13932286675,INFINITYCARE365 LTD
"Dube, Hilda",1-9906015685,Oasis Plus Care Services Ltd
"Dube, Hlekani",1-9240730510,Saffron Care Group Limited
"Dube, Hope",1-15027576715,Passionate Support Ltd
"Dube, Juliet",1-1620298341,Step Ahead Home Care Ltd
"Dube, Linda",1-17123645232,TLS Social Care Ltd
"Dube, Mandlenkosi",1-12861141518,MBM Care Solutions Ltd
"Dube, Mandlenkosi",1-14243480335,Loving Care Agency Ltd
"Dube, Minenhle",1-13871642178,Carerecruit Solutions Limited
"Dube, Nomusa",1-19888104623,Bramhall Care Limited
"Dube, Ntombikayise",1-14643992047,Kreative Care Ltd
"Dube, Obedingwa",1-407450714,Whitestone Care Limited
"Dube, Patience",1-18246714513,Instant Team Support Ltd
"Dube, Roy",1-17714372756,Care of Choice Limited
"Dube, Saneliso",1-11294757522,Greenlight Care Solutions Limited
"Dube, Sifundo",1-13120940490,Relate Care Solutions Ltd
"Dube, Sijabulisiwe",1-14858171938,Compassionate Community Care Limited
"Dube, Sikhumbuzo",1-14401489882,Wellslane Care Limited
"Duddella, Anand Mohan",1-4192971564,AM2PM Quality Care Limited
"Dudley-Smith, Michael",1-139906613,Strong Life Care Limited
"Dudley-Smith, Michael",1-17971152435,Strong Life Care (Hesslewood House) Limited
"Dudley-Smith, Michael",1-19792597735,Strong Life Care (Tenlands) Limited
"Dudley-Smith, Michael",1-19800631635,Strong Life Care (The Beeches) Limited
"Duenas, Imelda",1-5358801883,Khider Care Limited
"Duffy, Alice",1-8373285121,Health in Menopause Limited
"Duffy, Chloe",1-2087566821,Randox Health London Ltd
"Duffy, Fiona",1-247024218,Independent Homecare Team Limited
"Duffy, Paul",1-975586505,Direct Care (Tameside) Ltd
"Dugdale, Aderonke",1-453546725,Morecare Services (Uk) Ltd
"Duggal, Manish",1-4749995893,Surecare Newcastle Limited
"Duggan, Daniel",1-5763746411,Complete Support Care Services Limited
"Dukes, Sharon",1-14715362806,Jessicare Limited
"Duku-Dadzie, Leticia",1-9866734953,Hand of Hope Homecare Services Ltd
"Dulay, Balwinder",1-473654428,Ensure Care Ltd
"Duma, Andrew",1-8331666805,Dohatech Healthservice Limited
"Dumbuya, Michael",1-6031902141,365 Divine Care LTD
"Dumont, Joseph",1-2861433354,Care 121 Services Ltd
"Duncan, Alexander",1-10286170488,365 Homecare Ltd
"Duncomb, Emma",1-11608632566,Adults Supporting Adults (ASA Shared Lives)
"Dunderdale, Karen",RY5,Lincolnshire Community Health Services NHS Trust
"Dune, Gamuchirai",1-15085726335,Versed Carers Ltd
"Dunford, Susan",1-101639345,Community Places Limited
"Dunkley, Doreen",1-228517771,The Diamond Care Partnership Ltd
"Dunn, Christopher",1-698273393,Laurel Leaf Support Limited
"Dunn, Kevin",1-1061113533,White House Home Care Services Limited
"Dunn, Mary",1-19894865810,Clover Care Group Limited
"Dunnett, Geoffrey",1-1935534033,All About Home Care Limited
"Dunsmore, Clair",1-3062192646,Compassion Care Service Limited
"Duran, Guillermo",1-4857621816,ENA Hourly Care Limited
"Durkin, Barry",1-2525990835,Enchanting Care Limited
"Duroha, Chineme",1-12204962911,Oak Support Limited
"Duru, Halima",1-5353165184,Care for May Limited
"Dusanj, Parvinder",1-7227579216,Azure Care Ltd
"Dutton, Sophie",1-10164693553,Church Bank Homecare Ltd
"Dwamena, Linda",1-2783717111,Mulier Care Solutions Limited
"Dwarkadas, Dipa",1-2119695514,Sand Care Limited
"Dyer, Carol",1-5989496770,Carich Care Limited
"Dyer, Lucy",1-4469835410,Linton Support Ltd
"Dyirakumunda, Mercy",1-13121426142,Frontline Care & Support Services Ltd
"Dym, Isaac",1-15631832551,Willows Care Southern Limited
"Dymock, Ann",1-142382632,Choice Care Services Limited
"Dymock, Emma",1-366915999,Novus Care Limited
"Dyson, Kerry",1-3588054596,FYC Care Ltd
"Dzade, Michael",1-2588828357,Virtue Care Ltd
"Dzafundwa, Rodwell",1-8616301225,U in Mind Care Ltd
"Dzapasi, Shingirai",1-14306260585,Pimelea Care Services Ltd
"Dzawo, Vimbai",1-3051649959,Best At Home Adult Care Private Limited
"Dzingayi, Luwis",1-14675798666,Care for Life Solutions LTD
"Dzingeni, Robert",1-219068272,Maranatha Housing and Support Ltd
"Dzinotyiwei, Zorodzai",1-12964725447,Flawless Care PVT Limited
"Dzirasa-Payne, Gertrude",1-5371687021,Impacting Lives Care and Support Limited
"Dziva, Catherine",1-13953332107,Comfort Harmony Care Ltd
"Dzvengwe-Chiwuta, Dennis",1-4866324564,KMX Care Limited
"Dzwekesu, Patrick",1-2197249205,Health Link Care Services Ltd
"Eames, Rebecca",1-12673149493,Care Bridge Specialists Limited
"Eames, Rebecca",1-15089165108,Care Bridge LIFE Limited
"East, Natalie",1-9791815308,Caring Hearts Homecare Ltd
"Easter, Debra",1-6096946864,Embrace Home Care Limited
"Easton, James",1-199794494,Practice Plus Group Urgent Care Limited
"Easton, James",1-3757899473,Practice Plus Group Health and Rehabilitation Services Limited
"Easton, James",1-4779476029,Practice Plus Group Primary Care Limited
"Eaton, Susan",1-131464558,Horizon Care (South West) Ltd
"Ebebe, Susan",1-18116846257,Universal Point of Care Ltd
"Ebikeme, Stella",1-171202415,Anchor & Hope Care Services Ltd
"Eboh, Carolyn",1-7096533083,Mediatrix Health Care Services Ltd
"Ebu, Yvonne",1-16019619005,Crowned Care Limited
"Ebuzor, Ceaser",1-13894753198,1st Central Care Ltd
"Echezona, Lesley",1-2562384717,Rossycare Ltd
"Eckersley, Phil",1-138765913,Bridgewater Home Care Ltd
"Eddy, Amanda",1-11044461825,Enable Care and Support Limited
"Ede, Dorothy",1-12690428879,Niorgrey Health Care Limited
"Edeke, Nkoyo",1-101724755,Care Direct UK Limited
"Edgeley, Jonathan",1-14781723888,Montrose Health Group Limited
"Edigbe, Asheba",1-5800081600,Iconic Care Limited
"Edirisinghe, Lasantha",1-14519506305,Lee Care Services Limited
"Edmond, Oscar",1-18041750500,Acrux Support Services Limited
"Edmonds, Chrispen",1-13884502595,Sparkle Supported Living Ltd
"Edmunds, Philip",1-101618635,Alexandra House Care Services Limited
"Edoo, Mohammed",1-7075082948,Distinct Care and Support LTD
"Edward-Tsuro, Wendy",1-15197517327,Visiting Care Services Limited
"Edwards, Anna-Marie",1-10090860520,Town and Country Care Services Ltd
"Edwards, Barry",1-2188514670,Maria Care Limited
"Edwards, Cecil",1-1283380772,Pro Support Ltd
"Edwards, Emma",1-2412436314,Hearts At Home Care Limited
"Edwards, Hayley",1-1015188896,Pee Wee's Personal Homecare Limited
"Edwards, Jacqueline",1-2860957570,Blue Sunrise Care Limited
"Edwards, Mugove",1-11295885118,Maita Care Services Ltd
"Edwards, Sharron",1-101694420,Havencare (Wirral) Limited
"Edwards, Zara-Jayne",1-879898375,Penna Homecare Limited
"Edwin, Sohail",1-4017502796,Clia Care Ltd
"Efeotor, Rebecca",1-101648274,Supreme Care Services Limited
"Egala, Osman",1-101676954,MNA Home Care Services Limited
"Egala, Osman",1-3854845394,Prestige Homecare Services Limited
"Egbo, Kenneth",1-17645909332,Enhancing Your Care Ltd
"Egbonimali, Pat Tina",1-9292530772,Ansa Care Limited
"Egbury, John",1-245279759,JME Care Ltd
"Egeh, Saida",1-12675066154,Egeh's Care Ltd
"Eghtedar, Ardalan",1-9855431758,Pembridge Oral Care Ltd
"Egoh, Temitope",1-18325118939,Holden Park Care Limited
"Egwuatu, Stella",1-15942552816,Straif Care Limited
"Ehigiamusoe, Nancy",1-6119779010,Caremax Ltd
"Ehigiamusoe, Osagumwenro Diana",1-6856227200,Younique Care Ltd
"Ehinmowo, Alero",1-15976487595,Myable Care Limited
"Ehsan, Kamran",1-2570927684,CuRx Health Limited
"Ehsan, Muhammad",1-2570927684,CuRx Health Limited
"Eiserbeck, Emma Louise",1-4272728417,Eclipse Care (Southwest) Ltd
"Ejoh, Enajero",1-15259228331,Enigma Care and Support Ltd
"Eke, Jacinta",1-16296957113,Mattea Health Limited
"Ekengwu, Ifeoma",1-13083214915,Rosecare Community Services Ltd
"Ekhator Osemwenkhae, Josephine",1-15797343695,Zenith Care Support Services Ltd
"Ekperigin, Esosa",1-10708639865,Mount Hill Care Limited
"Ekuaze, Godfrey",1-16372171686,Multicare Community Services Northampton Ltd
"Ekundayo, Patrick",1-4464095463,Foremost Care UK Limited
"Ekwo, Kate",1-17713482713,Topteam Support (UK) Ltd
"El-Hadi, Randi",1-101693697,Care Expertise Group Limited
"Elahee, Mohammad",1-2010177772,Filey Care and Support Ltd
"Elahi, Shahnawaz",1-16561573631,Ollie Care Alliance Ltd
"Elder, Raymond",1-1856968843,Liver Care Ltd
"Elebert-Morgan, Diane",1-13517313443,Bolton Home Care Ltd
"Elegba, Hilda",1-14980381869,Dependable Social & Mental Health Limited
"Elekwa, Ifeoma",1-17716721606,Harritex Trust Care Limited
"Eley, Tracey",1-4349374369,St Edmunds Care Ltd
"Elias, Sherin",1-12807547975,Guardian Health Care PVT LTD
"Ellenor, Anne",1-278681396,Care & Support Solutions (North East) Limited
"Ellerton, Giles",1-9629337244,Kildrum Care Ltd
"Elliott, Adrian",1-148391241,One To One Home Care Limited
"Elliott, Gavin",1-16442858317,Reach Out Home Care Ltd
